entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,max_price,partial_exit
2025-09-29,10:38:56,2025-09-29,10:38:58,24750.0,PE,46.45,4177.3,4125.85,8882.35,0,contract_change,46.45,False
2025-09-29,10:39:10,2025-09-29,10:39:13,24750.0,PE,46.5,3192.55,3141.05,6754.95,0,contract_change,46.50,False
2025-09-29,10:40:54,2025-09-29,10:40:55,24750.0,CE,101.05,5200.0,5093.95,5041.02,0,contract_change,101.05,False
2025-09-29,10:41:33,2025-09-29,10:41:49,24750.0,CE,100.8,4200.0,4094.20,4061.71,0,contract_change,100.80,False
2025-09-29,10:41:52,2025-09-29,10:41:59,24750.0,CE,99.45,4200.0,4095.55,4118.20,0,contract_change,99.45,False
2025-09-29,10:42:12,2025-09-29,10:42:13,24750.0,CE,99.4,5200.0,5095.60,5126.36,0,contract_change,99.40,False
2025-09-29,10:42:18,2025-09-29,10:42:23,24750.0,CE,100.1,3200.25,3095.15,3092.06,0,contract_change,100.10,False
2025-09-29,10:42:26,2025-09-29,10:42:34,24750.0,CE,102.6,5200.0,5092.40,4963.35,0,contract_change,102.60,False
2025-09-29,10:42:40,2025-09-29,10:42:58,24750.0,CE,102.55,4190.0,4082.45,3980.94,0,contract_change,102.55,False
2025-09-29,10:43:00,2025-09-29,10:43:06,24750.0,PE,43.85,5200.0,5151.15,11747.21,0,contract_change,43.85,False
2025-09-29,10:43:16,2025-09-29,10:43:19,24750.0,CE,103.0,5200.0,5092.00,4943.69,0,contract_change,103.00,False
2025-09-29,10:43:21,2025-09-29,10:43:24,24750.0,CE,102.6,3194.25,3086.65,3008.43,0,contract_change,102.60,False
2025-09-29,10:43:34,2025-09-29,10:43:40,24750.0,PE,42.75,4190.0,4142.25,9689.47,0,contract_change,42.75,False
2025-09-29,10:43:52,2025-09-29,10:43:53,24750.0,PE,41.75,4190.0,4143.25,9923.95,0,contract_change,41.75,False
