entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,ema5_at_entry,ema21_at_entry
2025-09-29,14:30:12,2025-09-29,14:31:09,24700.0,CE,92.15,88.3,-3.85,-4.18,0,trend_broken,92.19,88.99
2025-09-29,14:33:03,2025-09-29,14:33:13,24700.0,CE,88.0,87.15,-0.85,-0.97,0,trend_broken,87.94,87.51
2025-09-29,14:33:35,2025-09-29,14:33:36,24700.0,CE,87.6,87.25,-0.35,-0.40,0,trend_broken,87.60,87.56
2025-09-29,14:34:04,2025-09-29,14:39:05,24700.0,CE,88.65,88.4,-0.25,-0.28,5,time_stop,88.44,87.65
2025-09-29,14:39:09,2025-09-29,14:39:10,24700.0,CE,88.15,87.65,-0.50,-0.57,0,trend_broken,88.23,87.69
2025-09-29,14:39:12,2025-09-29,14:39:21,24700.0,CE,88.2,86.9,-1.30,-1.47,0,trend_broken,88.06,87.76
2025-09-29,14:40:45,2025-09-29,14:41:10,24700.0,CE,83.85,82.1,-1.75,-2.09,0,trend_broken,83.84,82.79
2025-09-29,14:42:50,2025-09-29,14:42:56,24700.0,CE,76.05,75.25,-0.80,-1.05,0,trend_broken,76.09,75.64
2025-09-29,14:44:20,2025-09-29,14:44:22,24700.0,CE,72.9,72.65,-0.25,-0.34,0,trend_broken,72.88,72.67
2025-09-29,14:46:24,2025-09-29,14:46:40,24700.0,CE,64.1,63.55,-0.55,-0.86,0,trend_broken,64.63,63.70
2025-09-29,14:46:58,2025-09-29,14:49:31,24700.0,CE,64.75,63.8,-0.95,-1.47,2,trend_broken,65.34,63.94
2025-09-29,14:49:44,2025-09-29,14:49:47,24700.0,CE,63.45,62.4,-1.05,-1.65,0,trend_broken,63.56,62.74
2025-09-29,14:50:30,2025-09-29,14:50:31,24700.0,CE,63.85,63.15,-0.70,-1.10,0,trend_broken,64.00,63.61
2025-09-29,14:50:35,2025-09-29,14:50:42,24700.0,CE,63.95,63.5,-0.45,-0.70,0,trend_broken,63.85,63.67
2025-09-29,14:51:49,2025-09-29,14:52:01,24700.0,CE,66.7,64.3,-2.40,-3.60,0,trend_broken,67.04,64.51
2025-09-29,14:53:37,2025-09-29,14:53:46,24700.0,CE,63.95,63.3,-0.65,-1.02,0,trend_broken,63.81,63.71
2025-09-29,14:54:00,2025-09-29,14:57:56,24700.0,CE,65.3,64.3,-1.00,-1.53,3,trend_broken,65.48,64.80
2025-09-29,14:58:34,2025-09-29,14:58:35,24700.0,CE,67.2,66.9,-0.30,-0.45,0,trend_broken,67.05,66.91
2025-09-29,14:58:44,2025-09-29,14:58:45,24700.0,CE,67.25,66.75,-0.50,-0.74,0,trend_broken,67.35,67.19
2025-09-29,14:59:02,2025-09-29,14:59:07,24700.0,CE,69.05,67.55,-1.50,-2.17,0,trend_broken,69.01,68.30
2025-09-30,09:30:38,2025-09-30,09:30:41,24650.0,CE,71.95,71.4,-0.55,-0.76,0,trend_broken,71.76,71.41
2025-09-30,09:31:52,2025-09-30,09:31:55,24650.0,CE,69.9,67.85,-2.05,-2.93,0,trend_broken,69.19,68.24
2025-09-30,09:32:44,2025-09-30,09:32:47,24650.0,CE,74.3,71.5,-2.80,-3.77,0,trend_broken,73.16,71.50
2025-09-30,09:33:01,2025-09-30,09:33:04,24650.0,CE,74.35,72.65,-1.70,-2.29,0,trend_broken,73.76,72.78
2025-09-30,09:33:28,2025-09-30,09:35:00,24650.0,CE,73.15,72.5,-0.65,-0.89,1,trend_broken,73.24,72.66
2025-09-30,09:35:25,2025-09-30,09:35:48,24650.0,CE,73.75,69.5,-4.25,-5.76,0,trend_broken,73.83,69.56
2025-09-30,09:37:44,2025-09-30,09:37:45,24650.0,CE,65.4,64.8,-0.60,-0.92,0,trend_broken,65.59,65.05
