/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:74: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:90: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-05-09.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-06-27.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-08-08.parquet
No trades.
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-10-24.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2019-12-05.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-01-16.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-02-20.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-04-09.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-05-14.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-06-25.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-07-30.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-09-10.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-10-22.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2020-12-03.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-01-14.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-02-18.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-04-01.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-05-12.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-06-24.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-08-05.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-09-16.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-10-28.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2021-12-16.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-01-27.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-03-10.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-04-21.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-06-02.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-07-14.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-08-18.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-09-15.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-10-27.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2022-12-08.parquet
Wrote backtests/results/gamma_scalp_BANKNIFTY_2019-01-01_2025-07-31_2023-01-19.parquet
