entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-10-15,13:00:00,2025-10-15,15:24:59,56800.0,56800.0,602.0,346.4,558.0,366.1,948.4,924.1,24.299999999999955,144,time_limit
2025-10-16,13:00:00,2025-10-16,15:24:59,57200.0,57200.0,517.85,377.65,612.25,330.0,895.5,942.25,-46.75,144,time_limit
2025-10-17,13:00:00,2025-10-17,15:24:59,57600.0,57600.0,495.85,467.1,547.0,399.6,962.95,946.6,16.350000000000023,144,time_limit
2025-10-20,13:00:00,2025-10-20,15:24:59,58200.0,58200.0,354.95,398.0,304.6,404.2,752.95,708.8,44.15000000000009,144,time_limit
2025-10-23,13:00:00,2025-10-23,15:24:59,58400.0,58400.0,324.9,256.55,124.55,496.45,581.45,621.0,-39.549999999999955,144,time_limit
2025-10-24,13:00:00,2025-10-24,15:24:59,57700.0,57700.0,242.45,241.35,229.8,235.9,483.79999999999995,465.70000000000005,18.09999999999991,144,time_limit
2025-10-27,13:00:00,2025-10-27,15:24:59,58100.0,58100.0,221.8,167.45,226.4,116.45,389.25,342.85,46.39999999999998,144,time_limit
2025-10-28,13:00:00,2025-10-28,15:24:59,58100.0,58100.0,137.5,90.05,114.95,0.15,227.55,115.10000000000001,112.45,144,time_limit
2025-10-29,13:00:00,2025-10-29,15:24:59,58300.0,58300.0,955.0,546.85,999.95,527.6,1501.85,1527.5500000000002,-25.700000000000273,144,time_limit
2025-10-30,13:00:00,2025-10-30,15:24:59,58200.0,58200.0,884.4,573.65,840.0,606.75,1458.05,1446.75,11.299999999999955,144,time_limit
2025-10-31,13:00:00,2025-10-31,15:24:59,57900.0,57900.0,905.5,542.3,858.15,559.65,1447.8,1417.8,30.0,144,time_limit
2025-11-03,13:00:00,2025-11-03,15:24:59,58100.0,58100.0,855.35,560.3,869.0,547.15,1415.65,1416.15,-0.5,144,time_limit
2025-11-04,13:00:00,2025-11-04,15:24:59,57900.0,57900.0,803.75,563.45,783.65,562.85,1367.2,1346.5,20.700000000000045,144,time_limit
2025-11-06,13:00:00,2025-11-06,15:24:59,57700.0,57700.0,788.85,492.0,714.5,526.65,1280.85,1241.15,39.69999999999982,144,time_limit
2025-11-07,13:00:00,2025-11-07,15:24:59,57900.0,57900.0,753.9,481.15,754.95,454.0,1235.05,1208.95,26.09999999999991,144,time_limit
2025-11-10,13:00:00,2025-11-10,15:24:59,58100.0,58100.0,696.5,441.9,640.8,485.6,1138.4,1126.4,12.0,144,time_limit
2025-11-11,13:00:00,2025-11-11,15:24:59,57900.0,57900.0,693.5,441.25,837.45,350.7,1134.75,1188.15,-53.40000000000009,144,time_limit
2025-11-12,13:00:00,2025-11-12,15:24:59,58500.0,58500.0,601.2,416.0,508.05,492.65,1017.2,1000.7,16.5,144,time_limit
2025-11-13,13:00:00,2025-11-13,15:24:59,58600.0,58600.0,556.9,443.35,477.45,529.8,1000.25,1007.25,-7.0,144,time_limit
2025-11-14,13:00:00,2025-11-14,15:24:59,58300.0,58300.0,626.5,363.1,689.6,311.45,989.6,1001.05,-11.449999999999932,144,time_limit
2025-11-17,13:00:00,2025-11-17,15:24:59,59000.0,59000.0,438.1,411.25,431.25,402.0,849.35,833.25,16.100000000000023,144,time_limit
2025-11-18,13:00:00,2025-11-18,15:24:59,59000.0,59000.0,427.85,390.0,377.8,405.25,817.85,783.05,34.80000000000007,144,time_limit
2025-11-19,13:00:00,2025-11-19,15:24:59,59000.0,59000.0,1103.35,650.2,1184.0,607.15,1753.55,1791.15,-37.600000000000136,144,time_limit
2025-11-20,13:00:00,2025-11-20,15:24:59,59400.0,59400.0,1030.25,685.0,1020.05,674.1,1715.25,1694.15,21.09999999999991,144,time_limit
2025-11-21,13:00:00,2025-11-21,15:24:58,59100.0,59100.0,1072.0,660.45,910.0,792.5,1732.45,1702.5,29.950000000000045,144,time_limit
2025-11-24,13:00:00,2025-11-24,15:24:59,59300.0,59200.0,982.35,670.7,745.0,848.6,1653.0500000000002,1593.6,59.45000000000027,144,time_limit
2025-11-25,13:00:00,2025-11-25,15:24:58,58900.0,58900.0,996.05,653.25,912.8,675.0,1649.3,1587.8,61.5,144,time_limit
2025-11-26,13:00:00,2025-11-26,15:24:59,59500.0,59500.0,925.9,667.4,963.2,636.1,1593.3,1599.3000000000002,-6.000000000000227,144,time_limit
2025-11-27,13:00:00,2025-11-27,15:24:59,59800.0,59800.0,922.55,647.5,890.0,650.0,1570.05,1540.0,30.049999999999955,144,time_limit
2025-11-28,13:00:00,2025-11-28,15:24:59,59800.0,59800.0,882.8,619.65,882.0,606.2,1502.4499999999998,1488.2,14.249999999999773,144,time_limit
2025-12-01,13:00:00,2025-12-01,15:24:59,59800.0,59800.0,838.1,639.0,778.75,667.55,1477.1,1446.3,30.799999999999955,144,time_limit
